Name,Description,Footprint,Manufacturer,MPN,Storage,Total Stock,URL,Meta-Parts,Lead-Times
ATS-20F-175-C2-R0,Heatsink 35X35X10MM R-tab T766,,Advanced Thermal Solutions,ATS-20F-175-C2-R0,shelf3,34,https://PARTSBOX.COM/IF6612JA272H3V8AXN09HDRK8MG,,
NAE-CW305-04-7A35-0.50-M,"Artix 7A35 FPGA Target - 500 mOhm, VCC INT Cap.",,,,,0,https://PARTSBOX.COM/I2RD4CMF8FTHJ6B4MHCJ3Y3YDPZ,,
NPCA-CW308T-STM32F3 CAN (AUTO) (UNTESTED),STM32F3 CAN(AUTO),,,,shelf1,2,https://PARTSBOX.COM/IFKDGF3QRD8KS5AEPZMCSP9143Y,,
RCHIP-33R-0603 (RC0603FR-0733RL),RC Series 0603 0.1 W 33 Ohms 1% ±100 ppm/°C SMT Thick Film Chip Resistor,603,Yageo,RC0603FR-0733RL,Office 9,2021,https://PARTSBOX.COM/I1Q638V4ZXEJMFBWV2AQJYQJBCB,,
9022-0-00-15-00-00-33-0,Contact PIN Solder ST Thru-Hole Bulk,,Mill-Max,9022-0-00-15-00-00-33-0,shelf3,96,https://PARTSBOX.COM/I3XS0AS2W2RKGR86C1MP8GDHC50,,
NPCB-CHIPSHOVER-SUB,CHIPSHOVER SUB BOARD PCB,,,,PROTO,17,https://PARTSBOX.COM/IBXJWD29JZYJS7BXQKB54998FFY,,
M20-7832046,"2.54mm (0.1"") Pitch DIL Vertical PC Tail Socket Assembly, tin, 20+20 contacts",,Harwin,M20-7832046,,0,https://PARTSBOX.COM/I3VWNH7JTF0GNS8Q3JY2X764C7P,,
RGT16BM65DTL,Trans IGBT Chip N-CH 650V 16A 94000mW 3-Pin(2+Tab) DPAK T/R,,ROHM,RGT16BM65DTL,,0,https://PARTSBOX.COM/I95JXJP9BHPH179VD73NVV3MMQ8,,
SCREW 4-40 (9900),Screw Drive: Phillips Material: Stainless Steel Thread: UNC 4-40,,Keystone,9900,shelf3,7,https://PARTSBOX.COM/ICNC3C1WK54GR5AJZAR953R8RVZ,,
HR2220V801R-10,Chip Ferrite Beads / EMI Filters 800ohms 100MHz 8A Monolithic 2220 SMD,,Laird,HR2220V801R-10,Office 9,350,https://PARTSBOX.COM/I0JSG4PJ8J2G5785YP4VNPEH7HY,,
TOOL-SCREWDRIVER-ALLENKEY-5MM-BLACKOXIDE (7289A16),"Allen Key, Hex Driver, 5mm",,McMaster Carr,7289A16,,0,https://PARTSBOX.COM/I0ZRR8YTGGWG83BHH9K7QD65WQS,,
SRR4828A-470M,Inductor Power Shielded Wirewound 47uH 20% 100KHz Ferrite 1.2A 0.27Ohm DCR Automotive T/R,,Bourns,SRR4828A-470M,shelf3,16,https://PARTSBOX.COM/ICVC52BC8XAGY3BXCM9895VJC5Q,,
NPCA-CW308-04,PCA for UFO Main Board,,,,shelf2,223,https://PARTSBOX.COM/I34KW7DMR3RJKPBC6WQ64X1FCWN,,
88738-8000,"Universal Serial Bus (USB) I/O Cable Assembly: A-to-Pigtail Sub-Channel, 0.81m Length",,Molex,88738-8000,shelf3,752,https://PARTSBOX.COM/I93YTZGCGMJJ1R9M12X5X0SX9BA,,
HD3SS3220IRNHT,10-Gbps USB 3.1 Type-C 2:1 mux with DRP Controller 30-WQFN -40 to 85,,Texas Instruments,HD3SS3220IRNHT,Office 9,250,https://PARTSBOX.COM/IBXXQYSM2XRJFT9M0SQTFNTR6G6,,
5005,"TEST POINT, PCB, THROUGH HOLE; Product R; Range: -; Connector Colour: Red; Mounting: Through Hole",,Keystone,5005,shelf3,350,https://PARTSBOX.COM/IFC2AAZ2ZNEJD9A5H91C4N80M88,,
NPCA-LPC-P1114,LPC-P1114 (UNMODIFIED),,,,,0,https://PARTSBOX.COM/IA2CWC072DMH5J99FKGKDPH9ZN1,,
IS25WP032D-JBLE,Serial Flash Memory with 133MHz Multi I/O SPI & Quad I/O QPI DTR Interface 32Mb 4Mx8 1.8V 8-Pin SOIC Tray,,ISSI,IS25WP032D-JBLE,shelf3,1,https://PARTSBOX.COM/ICEYB60JPQ2GGN94MCFM7Z4BS46,,
CCHIP-470n-0603-50V (UMK107B7474KA-TR),Cap Ceramic 0.47uF 50V X7R 10% SMD 0603 125°C Paper T/R,,Taiyo Yuden,UMK107B7474KA-TR,Office 9,4038,https://PARTSBOX.COM/IAJPR27951JGNR9QQ8XNPNTC43Y,,
IH0509S,"Dc-Dc Converter, Iso Pol, 2 O/p, 2W, 9V, -9V",,XP Power,IH0509S,,0,https://PARTSBOX.COM/IF4WCAV549PG9P8HSNAPW1ZD6CP,,
90380A106,"Screws for Plastic, Zinc-Plated Steel, Number 4 Size, 1/4"" Long PK 100",,McMaster Carr,90380A106,shelf3,925,https://PARTSBOX.COM/I5BK89RRSMJJCQ8P1SS9X4AB8C2,,
AS6C3216A-55TIN,SRAM Chip Async Single 3.3V 32M-Bit 2M X 16 55ns 48-Pin TSOP-I Tray,,Alliance Memory,AS6C3216A-55TIN,,0,https://PARTSBOX.COM/I4Z57W2RGD4GBE9984BD6ZP28NR,,
CB-FFC0.5-30P-50MM (687630100002),6876 FFC Jumper Cable; 0.5mm; 100mm Cable Length; 500 mA; 60 V ac,,Wurth Elektronik,6.8763E+11,shelf3,87,https://PARTSBOX.COM/I9RBGCHBT6CGHFAW6P5BMW5P10S,,
MHSP-1/4-5-IIL (HEATSHRINK),"ratio: 2:1, length 4 feet(600V, Shrink temp. 120 deg , -45 deg to 125 deg Celsius )",,K-SPEC,,,0,https://PARTSBOX.COM/I8S3J8PDA1JH8P8KMDGTH4Q1DSA,,
NAE-CW312T-K82F,UFO TARGET CW312T-K82F,,,,shelf4,113,https://PARTSBOX.COM/I5N0P00EAVEHMVBAG4Q6AFHZ3RD,,
RCHIP-1M6-0603 (RC0603FR-071M6L),Res Thick Film 0603 1.6M Ohm 1% 0.1W(1/10W) ±100ppm/C Epoxy Pad SMD T/R,,Yageo,RC0603FR-071M6L,Office 9,3800,https://PARTSBOX.COM/I3PRDYF8ZD2HRB98SAZ0N6JJE3P,,
422B-340G,"MG Chemicals High Temperature Silicone Conformal Coating, 12oz Aerosol",,MG Chemicals,422B-340G,,0,https://PARTSBOX.COM/I1E45YWG1BEHTS9SAV26WMBG0AF,,
ENVELOPE-CLEAR-7.5 X 5.5 (S-750),7.5 X 5.5 CLEAR PKG ENVELOPES,,,S-750,packaging area,1350,https://PARTSBOX.COM/I6D4YSB7SEJHBZ8TY0WM1N95Z6N,,
RCHIP-49R9-0805_B (RC0805FR-0749R9L),Thick Film Resistors - SMD 49.9 OHM 1%,,,RC0805FR-0749R9L,Office 9,4500,https://PARTSBOX.COM/ICX54MEQCV8JRS99GTANYT35BZN,RCHIP-49R9-0805,
970140324,"Standoff, Hex Female-Female, 14Mm, M3; Standoff Material:brass; Thread Size - Metric:m3; Thread Size - Imperial:-; Standoff Type:hex Female-Female; Body Length:14Mm; Product Range:wa-Sbrii Series; Overall Length:14Mm; External Rohs Compliant: Yes",,Wurth Elektronik,970140324,shelf4,10,https://PARTSBOX.COM/I08ZAER76ETJYM8PN2ZC2F6068E,,
NLABEL-PHYWHISPERER-USB,OUTSIDE BOX LABEL,,,,shelf3,166,https://PARTSBOX.COM/IB7FSEQNG3WGDEAG3RN7RG6YWXT,,
RCHIP-9M1-1210 (KTR25JZPF9104),RES HIGH VOLTAGE 1210 9.1M OHM 1/3W 1% SMD,,ROHM,KTR25JZPF9104,Office 9,26,https://PARTSBOX.COM/IAW84NQVQTRGNDBGG61J2ZSQX9X,,
3341-7-KIT,Thumb Screw Kit For Metal D Sub Junction Shells For Round Cable,,3M,3341-7-KIT,shelf2,99,https://PARTSBOX.COM/I92WDFM0W2YKVRBYF2YZJX4R49P,,
MIC4680-5.0YM-TR,MIC4680 Series 34 V 200 kHz 1.3 A SuperSwitcher Buck Regulator - SOIC-8,SOIC-8,Microchip,MIC4680-5.0YM-TR,,0,https://PARTSBOX.COM/IAJPXYYX93GKSG8555J8X5ZHHVF,,
RCHIP-10K-0603,RC_L Series 0603 10 kO ±1% 0.1 W ±100 ppm/°C Thick Film Chip Resistor,,,,,4114,https://PARTSBOX.COM/I0YZW2HJ02RHPMATE4D9W49EMS5,,
NLABEL-CWPRO-SN,Nanuk Case label for PRO Serial number,,,,shelf3,28,https://PARTSBOX.COM/I4JHP5JMS6RHGE80JXMPE3ZVM1T,,
NCABLE-CW557-YCABLE,Backshell (90 deg) Orientation 2 : rotated 180 degrees),,,,shelf2,5,https://PARTSBOX.COM/IDHD4NEAAKMHDFAXABHJN9Y7RFY,,
NPCA-CW310-K410T-N,"BERGEN BD,K410T  (MOUNTED CAPS)",,,,shelf1,11,https://PARTSBOX.COM/I84D3VS9Y4GJEQ8TDQWT8679FJ6,,
RP2040TR7,"MCU, 32BIT, 133MHZ, QFN-56;",,Raspberry Pi,RP2040TR7,Office 9,500,https://PARTSBOX.COM/I1ZM2JFB3WPJK39D0TM4RYNKFE6,,
RCHIP-3K3-0603 (RC0603FR-073K3L),Res Thick Film 1.6 x 0.8 mm 3.3K Ohm 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R,,Yageo,RC0603FR-073K3L,Office 9,2900,https://PARTSBOX.COM/I2PQ67FGGXPGAXBVYKH1YQBY0AY,,
NAE-CW308T-MPC5777C,UFO Target board (TESTED),,,,,0,https://PARTSBOX.COM/I8VM186T958GKXBZF357Q3MY11X,,
M2351SIAAE,,,,M2351SIAAE,shelf3,99,https://PARTSBOX.COM/I8V3MYSE7R6KMG848H7WQMWHW55,,
8329TCM-6ML,"Epoxy Adhesive,Thermally Conductive,Two-Part,Medium Cure,0.2 fl oz (6ml),Syringe",,,,MECHANICAL AREA,1,https://PARTSBOX.COM/IAWAAFDX286JH7ASA5XQG7GC1NM,,
SC0915,Raspberry Pi Pico Embedded Dev Module,,Raspberry Pi,SC0915,Office 9,32,https://PARTSBOX.COM/I0EQG9SJYHGHJC8BQBJQXJNNP2D,,
M3-KEP-A2 (90923A216),"18-8 Stainless Steel Locknut with External-Tooth Lock Washer,M3 x 0.5mm Thread",,,90923A216,shelf3,72,https://PARTSBOX.COM/I173HBEQ6YWKRC9VP0JK63VTW8C,,
STD4NK80ZT4,N-CHANNEL 800V - 3 OHM - 3A DPAK Zener-Protected SuperMESH(TM) Power MOSFET,,STMicroelectronics,STD4NK80ZT4,Parts Kit: ChipSHOUTER SMT,4,https://PARTSBOX.COM/IFE2SP1R5FAJEZ99B5XZ3P2C3MG,,
NLABEL_CW520_MAIN_UNIT,Chipshouter main unit,,,,shelf3,22,https://PARTSBOX.COM/I5Q6N622FYMJNN95E2DTSBV1PZ8,,
22-29-2041,"KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 4 Circuits, Gold (Au) Plating",,Molex,22-29-2041,,0,https://PARTSBOX.COM/I4D7ANWQ832HRS87WYQS1VVCSBX,,
IE0505S,"CONV, DC TO DC, SINGLE O/P, 1W, 0.2A, 5V",,XP Power,IE0505S,,0,https://PARTSBOX.COM/I4A1BX5F78CJH2B8YVZQXAMH2X4,,
KONA 870FT-LV-DP (7548A11),BLACK COATING ; HIGH TEMP. (MATWEB),,,7548A11,MECHANICAL AREA,8,https://PARTSBOX.COM/I62G9A6AKC8HJ9B57VQEZ7XTYS7,,
74279207,WE-CBF Ferrite Bead 0805 100Ohm 1000mA,,Wurth Elektronik,74279207,Parts Kit: ChipSHOUTER SMT,31,https://PARTSBOX.COM/I7ZJBZ4KY0GHKK8D5C58ZZ8Z7E4,,
RCHIP-24K-0402 (RMCF0402FT24K0),Res Thick Film 0402 24K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R,,Stackpole Electronics,RMCF0402FT24K0,Office 9,10444,https://PARTSBOX.COM/I0BG5CSR7WAK03BKE35B4MQH8YZ,,
74695A222,"4.8"" Long Nozzle, Taper Tip for Twist-Lock Connection Two-Part Cartridge (10 PACKS)....(STATIC MIXER 5MM 24 EB SQ 10PCS)",,McMaster Carr,74695A222,MECHANICAL AREA,20,https://PARTSBOX.COM/I2C3F4MNXZ0K4AB0H4T72MNK559,,
STM32F100RBT6BTR,MCU 32-bit STM32F1 ARM Cortex M3 RISC 128KB Flash 2.5V/3.3V 64-Pin LQFP T/R,,STMicroelectronics,STM32F100RBT6BTR,,0,https://PARTSBOX.COM/I2AHWYTJ37GGV19ZR1S0THQS47F,,
4FRH256-837GGHS,Flip Top BGA Socket Heat Sink,,,,,0,https://PARTSBOX.COM/ID45091Y65MHMZ86CT4SNPJE25R,,
RCHIP-2K4-0603 (CRCW06032K40FKEA),Res Thick Film 0603 2.4K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R,,Vishay,CRCW06032K40FKEA,Office 9,2482,https://PARTSBOX.COM/IB0P3C1TGB0HVWBW2QN2SBVYCG6,,
CF14JT330R,Res Carbon Film 330 Ohm 5% 0.25W(1/4W) -400ppm/ to 0ppm/ Conformal Coated AXL T/R,,Stackpole Electronics,CF14JT330R,shelf4,5000,https://PARTSBOX.COM/I18YHVSH9E8H0DA19SAFRRTT6R3,,
TPS56C20PWP,"4.5-V to 17-V, 12-A synchronous buck converter with voltage scaling 24-HTSSOP -40 to 85",,Texas Instruments,TPS56C20PWP,Office 9,31,https://PARTSBOX.COM/I6KTZB7E5T6GVTBY7BHZ5KXGE6R,,
PE-0603CD5N1JTT,Inductor RF Chip Wirewound 0.0051uH 5% 250MHz 20Q-Factor Ceramic 0.7A 0.108Ohm DCR 0603 T/R,,Pulse,PE-0603CD5N1JTT,Office 9,610,https://PARTSBOX.COM/I1QSVVSJD5PJQ5ADEAB9GYSNZVZ,,
0297003.WXNV,"Automotive flat fuse, 3 A, 32 V, purple, (L x W x H) 10.9 x 3.8 x 16 mm, 0297003.WXNV",,Littelfuse,0297003.WXNV,shelf2,41,https://PARTSBOX.COM/IBRD848FNYYK779F5KG87NBWCQR,,
XTAL-7.3728MHZ-01 (ABL-7.3728MHZ-B2),Crystal 7.3728MHz ±20ppm (Tol) ±50ppm (Stability) 18pF FUND 100Ohm 2-Pin HC-49/US Thru-Hole Bulk,,Abracon,ABL-7.3728MHZ-B2,shelf4,426,https://PARTSBOX.COM/I41MASRG7HTHG9AKMZSCPTBH8BP,,
UVY1V101MED1TD,Cap Aluminum Lytic 100uF 35V 20% (6.3 X 11mm) Radial 2.5mm 150mA 1000h 105C Ammo,,Nichicon,UVY1V101MED1TD,shelf3,200,https://PARTSBOX.COM/I76A1R8CNWCH059VNXXN1Y8MMBC,,
LED-GRN-5MM (TLHG5400),"LED, 5MM, Green",,Vishay Semiconductor Opto Division,TLHG5400,shelf4,1,https://PARTSBOX.COM/I0KYRHJCNNMHXYBE1QHHFVB224M,,
"SAKURA-G/OPEN ADC/CABLE (6"")","6"" SMA Cable  (DIGIGIKEY :  744-1307-ND))",,,,shelf4,12,https://PARTSBOX.COM/I5VSTFPMB2CJHP92KV456MV9C7G,,
NAE-CW305-ACC,CW305 Accessory Pack,,,,,0,https://PARTSBOX.COM/I8ZM9V98DXAKMC85TGB04Q0KVDM,,
ECA-1AM331,Cap Aluminum 330uF 10V 20% (6.3 X 11.2mm) Radial 2.5mm 330mA 2000 hr 85°C Bulk,,Panasonic,ECA-1AM331,,0,https://PARTSBOX.COM/IAB2RFJHF18KF78R4BZ0S8MN3G9,,
PLP2-215,Rigid Front Mount 3 mm Round Lens Low Profile Round Face 0.215 Light Pipe,,Bivar,PLP2-215,shelf3,1793,https://PARTSBOX.COM/ICQRGNVQCCGGZB8XSSMTBKDMMY8,,
ATS-CPX035035010-175-C2-R0,HEATSINK 35MM x 35MM x 10MM R-TAB CP,,Advanced Thermal Solutions,ATS-CPX035035010-175-C2-R0,shelf3,6,https://PARTSBOX.COM/I7WKBV2YE96JEZ96Z6TKA0STE1E,,
RCHIP-1K-0402 (RMCF0402FT1K00),Res Thick Film 0402 1K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R,,Stackpole Electronics,RMCF0402FT1K00,Office 9,1000,https://PARTSBOX.COM/I6H4Z3GGG08G409XQ6EFQJ67CBB,RCHIP-1K-0402,
NCABLE-CW550-ESTOP,Chipshover ESTOP cable,,,,shelf2,6,https://PARTSBOX.COM/I307Q06ZT54JWSACPSXPW30SSQ1,,
NLABEL-CB520,(NAE-CB520)  ....OSCILLOSCOPE PROBE ADAPTER LABEL,,,,packaging area,528,https://PARTSBOX.COM/I0VAZ1WKNCAJM89CTBH48FN1FK8,,
RCHIP-220K-0603 (RC0603FR-07220KL),RES SMD 220K OHM 1% 1/10W 0603,603,Yageo,RC0603FR-07220KL,Office 9,3500,https://PARTSBOX.COM/I4MT53GN17GKYS953W9AMDEZEFY,,
CWS-06-12866,1MM/CCW COIL,,,,shelf3,42,https://PARTSBOX.COM/I66W32AYJXRGSQ8886V11V16RAP,,
LPC55S69JBD100K,MCU 32-bit ARM Cortex M33 RISC 640KB Flash 3.3V 100-Pin HLQFP EP Tray,,NXP Semiconductors,LPC55S69JBD100K,,0,https://PARTSBOX.COM/I0R5N5S4J1PHEZB60KWC3E07MF3,,
NPCA-CWLITE-ARM-01,ChipWhisperer-Lite Assembly ARM Target (UNTESTED),,,,shelf2,126,https://PARTSBOX.COM/IA6QCT6X6V4KMPAADRBZDYK5EAV,,
DA2033-ALB,"Transformer, for LT3750, 5A, SMT, RoHS",,Coilcraft,DA2033-ALB,shelf3,1,https://PARTSBOX.COM/ICQQMZDZD90KY7B7QP1Y27K2K8X,,
NPCB-CW522-02,USB_INTERFACE REV. 2 PCB,,,,,0,https://PARTSBOX.COM/I3AKG8VFXW0K5N952VMWJZDBV13,,
30-01918,Cable 4 Cond 22AWG Black 5M,,Tensility,30-01918,shelf2,1,https://PARTSBOX.COM/I0BBK4YHPV4GBJ87FEDB02C0BS9,,
IRF7807ZTRPBF,"MOSFET, Power;N-Ch;VDSS 30V;RDS(ON) 11 Milliohms;ID 11A;SO-8;PD 2.5W;VGS +/-20V",,Infineon,IRF7807ZTRPBF,"SMDREELRACK,shelf3",2021,https://PARTSBOX.COM/I2T1AR90CQAHDMB5PC195F84XC5,,
SONATA Sunburst sticker,Sunburst sticker for SONATA,,,,shelf4,12,https://PARTSBOX.COM/IF2JKX464YEKBS8N88P9J0T4NJD,,
TUSB1106PWR,Advanced Universal Serial Bus Transcievers 16-TSSOP -40 to 85,,Texas Instruments,TUSB1106PWR,Office 9,243,https://PARTSBOX.COM/I4TJG9GNZS6J63BYRVEG26QWC4X,,
LCHIP-3n3-0402 (MLG1005S3N3BTD25),MLG Series 0402 3.3 nH ±0.1 nH Tol. 800mA SMT High Frequency Multilayer Inductor,,TDK,MLG1005S3N3BTD25,Office 9,500,https://PARTSBOX.COM/I0WH467AB9YGYT8Q8HXC88WDF32,,
2-520193-2,Quick Disconnect Terminal 18-22AWG RCP 21.71mm 8.53mm Tin Automotive Strip,,TE Connectivity,2-520193-2,shelf2,236,https://PARTSBOX.COM/I01K82JSTB6KQMAV5R9K4YWA3C0,,
NAE-CW308T-STM32F4HWAUTO,Development Boards & Kits - ARM STM32F4 w/ Hardware Crypto Target for CW308 (TESTED)  ....AUTO,,,,,0,https://PARTSBOX.COM/IA6945KDR1YJ9KAT99BZ6Y0P4Y8,,
SCREW-4/40-PHILLIPS-5/16-PANHEAD (91772A107),,,McMaster Carr,91772A107,,0,https://PARTSBOX.COM/I01JJ5XVR6TG66BC2J2AK01V8F0,,
S80KS5122GABHM020,DRAM Chip DDR SDRAM 512Mbit 64M X 8 1.8V 24-Pin FBGA Tray,,Infineon,S80KS5122GABHM020,Office 9,79,https://PARTSBOX.COM/I3PN62E28DRJ55A3R8EXEAHKDNQ,,
05319GS11007,"Desktop Thermal Transfer Ribbons - Wax, 4.33"" x 244'",,,,packaging area,13,https://PARTSBOX.COM/IA9AMMQJXY6JYTAC0F45ZCBV4KY,,
61729-0010BLF,Conn USB Type B RCP 4 POS 2.5mm Solder RA Thru-Hole 4 Terminal 1 Port Tube,,Amphenol Communications Solutions,61729-0010BLF,Office 9,12,https://PARTSBOX.COM/I4HZSGM0SPTGDEA2GXZ9BM8PN3E,,
NPCB-CW553_LCD_FRONTPANEL-05,CHIPSHOVER (BLACK PCB),,,,shelf5,5,https://PARTSBOX.COM/I8QZG097J8GHRWAEHQRKGYQKSBM,,
MI0283QT-11,LCD for CW1200 Front Panel,,,,shelf2,210,https://PARTSBOX.COM/IECVFPQ3K02KJV89VKAP99T44F7,,
LD1117SC-R,LDO Regulator Pos 1.25V to 15V 1.3A 4-Pin(3+Tab) SOT-223 T/R,,STMicroelectronics,LD1117SC-R,"Office 9,shelf3",139,https://PARTSBOX.COM/I4VKT9W6K60KWF8V81JTWWVEPZF,,
0008500113-03-Y2-D,"MIL Series Connector, 3 Contact(s), Aluminum Alloy, Female, Crimp Terminal, Plug",,Molex,0008500113-03-Y2-D,shelf2,24,https://PARTSBOX.COM/I3K3JRPPGPGH2BAG2XVXETE5RZS,,
NLABEL-HUSKY-PLUS,CWHUSKY plus label,,,,packaging area,30,https://PARTSBOX.COM/IAHC5X327CCGA6A240AW0TPASXA,,
CB-MCX-BNC-12,"MCX to BNC Cable, 15cm (12"")",,,,shelf3,322,https://PARTSBOX.COM/IB7QK84FCXEGBKB4G24S7XREN56,,
"74HC7541D,118",74HC Series 6 V Octal Schmitt Trigger 3-ST Buffer/Line Driver - SOIC-20,,Nexperia,"74HC7541D,118",,0,https://PARTSBOX.COM/IB4ZXJ53A4CGQBAEA1P9SHT71CY,,
CCHIP-10u-0805-16V_A (C0805C106M4PACTU),Cap Ceramic 10uF 16V X5R 20% SMD 0805 85Â°C Plastic T/R,,KEMET,C0805C106M4PACTU,,0,https://PARTSBOX.COM/IBZ3NJBFCAPGN584CWPR917ZESH,CCHIP-10u-0805-16V,
204-0018-01,Proto-board PCB Board,,SchmartBoard,204-0018-01,PROTO,4,https://PARTSBOX.COM/IEEAXYKD2HEGY6BSC3QB878SQ79,,
NPCB-PHYWHISPERER-03,PHYWHISPERER USB REV. 3 PCB,,,,PROTO,4,https://PARTSBOX.COM/I67KEYDR7XWKFSARSEHTCGDM1RA,,
R1973ABLKGILFF4,Switch Rocker ON OFF SPST Quick Connect Curved Rocker 9A 250VAC 30000Cycles,,E-Switch,R1973ABLKGILFF4,Office 9,75,https://PARTSBOX.COM/I0YBFFQGW8EKGDBKJX7DX297WWQ,,
NAE-CW340-OTKIT,Programmable Logic IC Development Tools CW340 Luna Board for OpenTitan Emulation with Kintex UltraScale KU095,,,,,0,https://PARTSBOX.COM/IAFG4J0PBJJG8A89SFMWV681DB3,,
400R0111-20-9,Hook-up Wire 400R0111-20-9 Price Per Foot,,,400R0111-20-9,shelf3,12,https://PARTSBOX.COM/IBYTHR5Y672GV29ZGTV5F3PXXCP,,
CCHIP-1p2-0402-50V (CBR04C129B5GAC),Cap Ceramic 1.2pF 50V C0G 0.1pF SMD 0402 125°C Paper T/R,,KEMET,CBR04C129B5GAC,Office 9,400,https://PARTSBOX.COM/ICKN6B3BCD8KH3AFY7RC2Y9WZSX,,
NSLEEVE-CWLITE-CAPTURE,CWLITE CAPTURE SLEEVE COVER,,,,packaging area,90,https://PARTSBOX.COM/IAKR66PE6YCK25BJ9WZ6YN0CKKM,,
NPCB-CW1200LCD-05,CW1200 LCD FRONT PANEL PCB,,,,shelf5,2,https://PARTSBOX.COM/IF16R0KKF2MK8QBP6HY5R95QN4Q,,
RCHIP-1K4-0603_0.5%_0.2W (RC0603FR-071K4L),Res Thick Film 0603 1.4K Ohm 1% 0.1W ?100ppm/?C Molded SMD Paper T/R,,Yageo,RC0603FR-071K4L,Office 9,4000,https://PARTSBOX.COM/I40KP3XXEGEJMVAQWHP6JFGMDKN,,
NSLEEVE-CW1173-2PART (BACK COVER),ChipWhisperer Lite2-Part Version (BACK COVER),,,,packaging area,41,https://PARTSBOX.COM/IEAKTDB74KJG1J84T7RRGVH28N9,,
90485A190,"Stainless Steel Flat Head Thread-Forming Screws for Plastic, Phillips Drive, Number 4 Screw Size, 3/4"" Long",,mcmaster-carr,,shelf3,112,https://PARTSBOX.COM/I9RGF7FMY3JGREAE6WR9A2W3ZFD,,
NPCB-AURIX-02 (OBSOLETE),UFO TARGET AURIX (OBSOLETE),,,,PROTO,76,https://PARTSBOX.COM/I7QPDAQCXK2JSWAXGHAPJNDND2V,,
CB-SMAMM-20,20'' SMA male to male cable,,,,shelf4,670,https://PARTSBOX.COM/I99CSXQ4694JQZATXEBE370477M,,
AP7361C-Y5-13,5 V 1 A Positive Adjustable 1 Output Linear Voltage Regulator IC - SOT89-5,,Diodes Inc.,AP7361C-Y5-13,SMDREELRACK,498,https://PARTSBOX.COM/I9QB5WJ78R4GYRBWT9KC8REB7A8,,
AC-C13 UK,Cable Assembly AC Power Cord 1.83m 19AWG Power to Power 3 to 3 POS F-M,,CUI Devices,AC-C13 UK,packaging area,10,https://PARTSBOX.COM/I0A1FSE7MQJJWP9FE5V810XZC22,,
NPCA-CWLITE-04,ChipWhisperer-Lite Assembly (XMEGA),,,,shelf2,64,https://PARTSBOX.COM/I9JGDC3WFCGJR1BK5NW3SS53NSH,,
CB-MCX-SMA-6,"SMA Male to MCX Male, 15cm (6"")",,,,,0,https://PARTSBOX.COM/I3CZAJPB03EGYG812DVDZAZB6HT,,
NPCA-CW308T-STM32F3,NPCA Development Boards & Kits - ARM STM32F3 Target for CW308 (UNTESTED),,,,shelf2,500,https://PARTSBOX.COM/I1YW4VRZWR6JA39FCMS0X7KEESA,,
CCHIP-68p-0603 (CL10C680JB8NCNC),CL10 Series 0603 68 pF 50 V ±5% Tolerance Multilayer Ceramic Chip Capacitor,,Samsung,CL10C680JB8NCNC,shelf3,3,https://PARTSBOX.COM/IBKAQJHZE3WKW1AMJQBM1QEFSK6,,
dob-SPI-i2C-01 _PROTO,SPI boards,,,,"PROTO,shelf1",18,https://PARTSBOX.COM/I9P9Z1TDR66G628CD6XXKQYWDTB,,
"92196A148 (SCREW 6-32, 1/2"") (92196A148)",Screw Caphead 6-32 1/2,,,92196A148,shelf3,60,https://PARTSBOX.COM/I17FQ1A9C7JKX583W316D3C4KRX,,
NCASE-CWHUSKY (C16101M),"ChipWhisperer Husky Enclosure (Hammond C16101M, modified from 1593LTBU)",,Hammond,C16101M,shelf3,500,https://PARTSBOX.COM/IDD2G3F32A4JBH83HGKHJZK7EP8,,
1MM/CW COIL ASSEMBLED,1MM/CW COMPLETED,,,,shelf3,1,https://PARTSBOX.COM/IE67HP4B0FGJSVBSYYFG5KQ891C,,
ATXMEGA128D4-AU,44TQFP IND TEMP GREEN 1.6-3.6V,TQFP44,Microchip,ATXMEGA128D4-AU,Office 9,125,https://PARTSBOX.COM/ID5YM44TDQEGFNAHMHHXBYXN4D8,,
800132-002,"ZEBRA 2.25"" 5319 WAX RIBBON FOR TLP2824 PRINTERS - 800132-002",,,,packaging area,12,https://PARTSBOX.COM/I7DKTMZGTTRHK3AW90THGTCNKBB,,
HSHRINK-BLACK-6 (RNF-100-1/16-BK-STK),"RAYCHEM: Heat Shrink,1/16 in. ID,2:1 Shrink,Blk,4ft stks,RNF-100-1/16-BK-STK",,TE Connectivity / Raychem,RNF-100-1/16-BK-STK,shelf3,8,https://PARTSBOX.COM/I69N0HFXJQ2GNK81CC924M2QHK8,,
7-66504-0,Conn Contact SKT 1 POS Crimp ST Cable Mount 1 Terminal 1 Port Loose Piece,,TE Connectivity,7-66504-0,shelf2,85,https://PARTSBOX.COM/IAN0JSGKTH0GQN8P2N0GWWFCPHY,,
SCREW-6-32 X 3/8 CAPHEAD (92210A146),SOCKET CAP SCREW (92210A146),,,92210A146,shelf3,397,https://PARTSBOX.COM/I1GKH02ZYR4JKGAMRB0914EKCPR,,
